Age;Vehicle Use;Severity;Claim Count
17_20;Pleasure;250.48;21
17_20;Drive_short;274.78;40
17_20;Drive_long;244.52;23
17_20;Business;797.8;5
21_24;Pleasure;213.71;63
21_24;Drive_short;298.6;171
21_24;Drive_long;298.13;92
21_24;Business;362.23;44
25_29;Pleasure;250.57;140
25_29;Drive_short;248.56;343
25_29;Drive_long;297.9;318
25_29;Business;342.31;129
30_34;Pleasure;229.09;123
30_34;Drive_short;228.48;448
30_34;Drive_long;293.87;361
30_34;Business;367.46;169
35_39;Pleasure;153.62;151
35_39;Drive_short;201.67;479
35_39;Drive_long;238.21;381
35_39;Business;256.21;166
40_49;Pleasure;208.59;245
40_49;Drive_short;202.8;970
40_49;Drive_long;236.06;719
40_49;Business;352.49;304
50_59;Pleasure;207.57;266
50_59;Drive_short;202.67;859
50_59;Drive_long;253.63;504
50_59;Business;340.56;162
60_plus;Pleasure;192;260
60_plus;Drive_short;196.33;578
60_plus;Drive_long;259.79;312
60_plus;Business;342.58;96
