"nocontrat";"exposition";"zone";"puissance";"agevehicule";"ageconducteur";"bonus";"marque";"carburant";"densite";"region";"nbre"
"1";27;0.87;"C";7;0;56;50;12;"D";93;13;0
"2";115;0.72;"D";5;0;45;50;12;"E";54;13;0
"3";121;0.05;"C";6;0;37;55;12;"D";11;13;0
"4";142;0.9;"C";10;10;42;50;12;"D";93;13;0
"5";155;0.12;"C";7;0;59;50;12;"E";73;13;0
"6";186;0.83;"C";5;0;75;50;12;"E";42;13;0
"7";217;0.74;"A";5;4;31;64;3;"D";21;8;0
"8";285;0.09;"F";5;0;41;90;12;"E";11;2;0
"9";303;0.77;"B";4;0;42;50;12;"E";26;13;0
"10";337;0.24;"A";4;0;29;76;12;"E";26;5;0
"11";536;0.84;"D";5;0;29;76;12;"E";41;5;0
"12";542;0.84;"E";5;1;58;100;12;"E";52;0;0
"13";571;0.53;"B";5;0;27;68;12;"E";22;7;0
"14";574;0.1;"B";5;0;27;68;12;"E";22;7;0
"15";590;0.78;"A";11;10;44;50;1;"E";94;13;0
"16";709;0.18;"B";7;8;22;100;2;"E";26;0;0
"17";714;0.48;"C";9;0;32;61;12;"E";41;13;0
"18";739;0.57;"D";10;1;40;50;12;"D";11;13;0
"19";746;0.05;"D";6;0;74;50;12;"D";93;13;0
"20";778;0.79;"A";6;0;63;50;12;"E";93;13;0
"21";789;0.35;"F";6;0;60;100;12;"E";11;0;0
"22";805;0.01;"E";4;1;27;95;12;"E";11;1;0
"23";852;0.27;"F";7;5;39;100;12;"E";11;0;0
"24";859;0.62;"B";5;0;50;50;12;"E";11;13;0
"25";867;0.81;"C";4;0;36;72;12;"E";53;6;0
"26";944;0.06;"F";5;4;34;100;12;"D";11;0;0
"27";961;0.05;"B";7;0;31;51;12;"D";41;12;0
"28";984;0.11;"E";5;0;34;50;12;"E";93;13;0
"29";1005;0.22;"D";5;0;24;90;12;"E";22;2;0
"30";1010;0.00819672131147541;"D";5;0;24;90;12;"E";22;2;0
"31";1037;0.48;"F";4;0;32;67;12;"E";11;7;0
"32";1070;0.1;"C";5;0;33;68;12;"E";72;7;0
"33";1083;0.51;"E";4;0;49;50;12;"E";31;13;0
"34";1105;0.07;"E";6;0;38;72;12;"D";11;6;0
"35";1141;0.29;"E";5;1;35;50;12;"E";11;13;0
"36";1190;0.6;"D";5;0;44;56;12;"E";41;13;0
"37";1192;0.79;"E";7;1;49;50;12;"E";11;13;0
"38";1207;0.71;"C";5;0;45;50;12;"E";42;13;0
"39";1316;0.72;"E";9;0;69;50;12;"E";93;13;0
"40";1394;0.78;"E";5;5;33;68;5;"E";31;7;0
"41";1453;0.12;"E";7;0;39;50;12;"D";53;13;0
