"rr";"rr2";"age";"age2";"tenure";"slack";"abol";"seasonal";"head";"married";"dkids";"dykids";"smsa";"nwhite";"yridspl";"school12";"male";"statemb";"stateur";"y"
0,290631;0,0844664;49;240,1;21;0;0;0;1;0;0;0;1;0;7;0;1;167;4,5;1
0,520202;0,2706102;26;67,6;2;1;0;0;1;0;1;1;1;0;10;0;1;251;10,5;0
0,4324895;0,1870471;40;160;19;0;0;0;1;1;0;0;1;0;10;1;0;260;7,2;1
0,5;0,25;51;260,1;17;1;0;0;0;1;0;0;1;1;10;0;0;245;5,8;1
0,390625;0,1525879;33;108,9;1;1;0;0;1;1;1;1;1;0;4;1;1;125;6,5;0
0,4822007;0,2325175;51;260,1;3;0;0;0;1;1;0;0;1;0;10;0;1;188;7,5;1
0,3340425;0,1115844;30;90;5;0;1;0;1;1;1;1;1;0;6;0;1;166;5,8;1
0,510989;0,2611098;26;67,6;3;1;0;0;1;1;1;1;1;0;8;0;1;214;5,8;1
0,3556338;0,1264754;54;291,6;20;0;0;0;1;1;0;0;1;0;6;0;1;213;7,7;0
0,3732719;0,1393319;31;96,1;1;1;0;0;1;1;0;0;1;0;8;0;1;187;6;1
0,4044665;0,1635932;56;313,6;20;1;0;0;1;1;0;0;0;0;10;0;1;206;7,1;1
0,4132948;0,1708126;54;291,6;26;0;0;0;1;1;1;0;0;0;2;0;1;132;10,1;0
0,5984849;0,3581842;21;44,1;1;1;0;0;0;0;0;0;1;0;9;0;1;279;5;0
0,5991561;0,3589881;35;122,5;1;1;0;0;0;0;1;1;1;1;10;0;1;291;6,6;0
0,39375;0,1550391;23;52,9;1;1;0;0;0;0;0;0;1;0;4;1;1;166;7,2;1
0,5023041;0,2523094;41;168,1;3;0;0;0;0;1;1;0;1;0;10;0;1;260;7,2;1
0,4263736;0,1817945;49;240,1;12;0;0;0;0;1;0;0;1;0;7;0;1;213;6,4;1
0,473545;0,2242448;35;122,5;1;0;0;0;1;1;0;0;0;1;2;0;1;166;8,9;0
0,4981949;0,2481982;40;160;12;0;0;0;0;1;1;0;1;0;10;0;0;245;5,8;1
0,5185185;0,2688614;60;360;30;1;0;0;1;1;0;0;1;0;2;0;1;138;6,1;0
0,5;0,25;42;176,4;4;1;0;0;0;1;0;0;1;1;10;0;0;260;7,2;1
0,2558922;0,0654808;48;230,4;3;0;0;0;1;1;0;0;0;0;2;0;1;211;18;1
0,3359073;0,1128337;41;168,1;3;0;0;0;1;1;0;0;1;0;3;0;1;168;4,6;1
0,2622036;0,0687507;29;84,1;5;0;1;0;1;1;1;1;0;0;5;0;1;192;9;0
0,5;0,25;59;348,1;5;1;0;0;1;1;0;0;0;0;4;0;1;185;5,9;1
0,4389671;0,1926921;32;102,4;3;1;0;0;1;1;1;1;0;0;6;0;1;197;7,4;1
0,504065;0,2540815;22;48,4;3;1;0;0;0;0;1;0;1;0;2;0;1;168;11,4;0
0,5752212;0,3308795;25;62,5;3;1;0;0;0;1;1;1;1;1;8;0;1;150;5,5;0
0,4010989;0,1608803;36;129,6;3;0;0;0;1;1;1;1;0;0;7;1;1;179;4,8;1
0,3994845;0,1595879;41;168,1;20;0;0;0;0;0;1;0;1;0;3;0;1;150;6,3;1
0,5204461;0,2708642;26;67,6;2;1;0;0;0;0;0;0;1;0;3;0;1;138;5;1
0,4175258;0,1743278;25;62,5;3;0;0;0;1;0;1;1;1;0;2;0;0;110;11,5;0
0,5194175;0,2697945;23;52,9;1;1;0;0;0;0;1;1;1;0;9;0;1;194;4,9;1
0,4593838;0,2110334;24;57,6;1;1;0;0;0;1;0;0;0;0;1;0;1;147;7,7;0
0,4872611;0,2374234;22;48,4;3;1;0;0;1;1;1;1;1;0;5;0;1;197;8,8;1
0,6147541;0,3779226;38;144,4;3;0;0;0;1;0;0;0;0;0;7;0;0;151;7,9;1
0,5032895;0,2533003;37;136,9;10;0;0;0;0;1;1;1;1;1;8;0;0;176;3,9;1
0,5253165;0,2759574;39;152,1;3;0;0;0;1;1;1;0;1;0;10;0;1;276;9,2;0
0,520362;0,2707766;30;90;2;1;0;0;1;1;1;1;1;0;5;0;1;205;13,1;0
0,4429066;0,1961662;34;115,6;2;1;0;0;1;1;1;0;1;0;6;0;1;135;6,2;1
0,2456814;0,0603593;36;129,6;17;1;0;0;1;1;1;0;0;0;8;0;1;147;4,7;0
0,4405063;0,1940458;22;48,4;1;1;0;0;0;0;1;0;0;0;10;1;1;220;7,3;1
0,5421687;0,2939469;33;108,9;1;0;0;0;0;1;1;0;0;0;3;0;0;165;5,4;0
0,4777778;0,2282716;22;48,4;2;1;0;0;1;1;0;0;1;0;4;1;1;161;9;0
0,3955696;0,1564753;32;102,4;2;1;0;0;1;1;1;1;1;0;10;0;1;210;7,5;1
0,4172185;0,1740713;25;62,5;5;1;0;0;1;0;0;0;0;0;1;0;1;110;11,9;1
0,5212121;0,2716621;47;220,9;4;1;0;0;1;0;0;0;1;0;9;0;1;275;7,5;1
0,5;0,25;61;372,1;27;1;0;0;1;1;0;0;1;0;10;0;1;282;9;1
0,4884793;0,238612;34;115,6;3;1;0;0;1;1;1;0;0;0;8;0;1;187;6;1
0,4170403;0,1739227;57;324,9;2;1;0;0;0;0;0;0;1;0;1;1;1;136;9,4;1
0,5025381;0,2525445;20;40;1;1;0;0;0;0;1;0;1;1;6;0;1;130;10,2;0
0,3929825;0,1544352;27;72,9;6;0;1;0;1;0;0;0;1;0;9;1;1;272;6;1
0,4889868;0,2391081;40;160;5;1;0;0;0;1;1;0;1;0;7;0;0;176;6,8;0
0,3818565;0,1458144;26;67,6;1;0;0;0;0;0;0;0;0;0;10;0;1;229;5;0
0,4980695;0,2480732;28;78,4;2;0;0;0;1;0;0;0;1;0;3;0;1;172;5,1;1
