CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	TAX	PTRATIO	B	LSTAT	MEDV
8.3518	0	18.1	0	0.693	5.453	100	1.4896	666	20.2	396.9	30.59	4.12662504596169
7.9208	0	18.1	0	0.693	5.683	100	1.4254	666	20.2	384.97	22.98	7.57280946418888
5.0461	0	18.1	0	0.693	5.987	100	1.5888	666	20.2	396.9	26.77	7.94540248484043
9.91655	0	18.1	0	0.693	5.852	77.8	1.5004	666	20.2	338.16	29.97	8.26804082753773
5.7461	0	18.1	0	0.693	4.519	100	1.6582	666	20.2	88.27	36.98	8.74647088579094
0.18337	0	27.74	0	0.609	5.414	98.3	1.7554	711	20.1	344.05	23.97	9.08237055802348
6.8118	0	18.1	0	0.7	5.277	98.1	1.4261	666	20.2	396.9	30.81	9.21763671526685
8.0846	0	18.1	0	0.679	6.434	100	1.8347	666	20.2	27.25	29.05	9.38958631801368
4.2362	0	18.1	0	0.693	6.343	100	1.5741	666	20.2	396.9	20.32	9.6186849743483
2.5971	0	18.1	0	0.7	5	89.5	1.5184	666	20.2	396.9	31.99	9.700680196445
0.8342	0	18.1	0	0.679	6.782	90.8	1.8195	666	20.2	21.57	25.79	9.99414934386555
0.20746	0	27.74	0	0.609	5.093	98	1.8226	711	20.1	318.43	29.68	10.2422873591005
4.8017	0	18.1	0	0.693	5.349	96	1.7028	666	20.2	396.9	19.77	10.3134292682376
5.8603	0	18.1	0	0.679	5.896	95.4	1.9096	666	20.2	7.68	24.39	10.3959393492681
3.6781	0	18.1	0	0.74	5.935	87.9	1.8206	666	20.2	68.95	34.02	10.6872342703941
1.8123	0	18.1	0	0.718	6.824	76.5	1.794	666	20.2	48.45	22.74	10.9337625871514
7.67202	0	18.1	0	0.693	5.747	98.9	1.6334	666	20.2	393.1	19.92	10.957056179667
1.5292	0	18.1	0	0.693	5.531	85.4	1.6074	666	20.2	329.46	27.38	11.0715560824971
5.1772	0	18.1	0	0.74	6.152	100	1.9142	666	20.2	9.32	26.45	11.1691029411267
3.5341	0	18.1	0	0.679	5.957	100	1.8026	666	20.2	16.45	20.62	11.2041975207095
0.0849	0	18.1	0	0.7	4.368	91.2	1.4395	666	20.2	285.83	30.63	11.2606995602199
9.33889	0	18.1	0	0.679	6.38	95.6	1.9682	666	20.2	60.72	24.08	11.2687474462293
4.4208	0	18.1	0	0.74	6.461	93.3	2.0026	666	20.2	27.49	18.05	11.6271775079484
1.5779	0	18.1	0	0.7	5.036	97	1.77	666	20.2	396.9	25.68	11.7833570642401
7.8667	0	18.1	0	0.671	6.223	100	1.3861	666	20.2	393.74	21.78	11.7847236137451
2.2472	0	18.1	0	0.584	5.837	59.7	1.9976	666	20.2	24.65	15.69	11.8365930930945
4.3337	0	18.1	0	0.7	4.88	100	1.5895	666	20.2	372.92	30.62	11.9548137512616
5.9406	0	18.1	0	0.679	5.304	89.1	1.6475	666	20.2	127.36	26.64	12.0375981580441
8.9762	0	18.1	0	0.671	6.968	91.9	1.4165	666	20.2	396.9	17.21	12.0560488384577
2.0511	0	18.1	0	0.74	5.818	92.4	1.8662	666	20.2	391.45	22.11	12.1929808243198
4.3938	0	18.1	0	0.7	4.652	100	1.4672	666	20.2	396.9	28.28	12.2319079102622
2.8023	0	18.1	0	0.74	5.854	96.6	1.8956	666	20.2	240.52	23.79	12.3102282570546
7.6619	0	18.1	0	0.679	6.202	78.7	1.8629	666	20.2	18.82	14.52	12.3497685870653
5.8744	0	18.1	0	0.671	6.545	99.1	1.5192	666	20.2	396.9	21.08	12.3522615806623
7.36711	0	18.1	0	0.679	6.193	78.1	1.9356	666	20.2	96.73	21.52	12.3568420856001
9.18702	0	18.1	0	0.7	5.536	100	1.5804	666	20.2	396.9	23.6	12.3745178656174
8.15174	0	18.1	0	0.7	5.39	98.9	1.7281	666	20.2	396.9	20.85	12.4173896925497
8.79212	0	18.1	0	0.584	5.565	70.6	2.0635	666	20.2	3.65	17.16	12.5961457012469
3.9134	0	18.1	0	0.713	6.208	95	2.2222	666	20.2	100.63	15.17	12.7404049195151
0.6718	0	18.1	0	0.74	6.459	94.8	1.9879	666	20.2	43.06	23.98	12.9525358792524
2.77974	0	19.58	0	0.871	4.903	97.8	1.3459	403	14.7	396.9	29.29	13.0014036968888
0.04741	0	11.93	0	0.573	6.03	80.8	2.505	273	21	396.9	7.88	13.0164501806958
0.7162	0	18.1	0	0.659	4.138	100	1.1781	666	20.2	370.22	23.34	13.0412853717641
5.0234	0	18.1	0	0.614	5.304	97.3	2.1007	666	20.2	349.48	24.91	13.052609234675
9.59571	0	18.1	0	0.693	6.404	100	1.639	666	20.2	376.11	20.31	13.0744872992266
7.99248	0	18.1	0	0.7	5.52	100	1.5331	666	20.2	396.9	24.56	13.105181989157
5.87205	0	18.1	0	0.693	6.405	96	1.6768	666	20.2	396.9	19.37	13.1357269281436
9.92485	0	18.1	0	0.74	6.251	96.6	2.198	666	20.2	388.52	16.44	13.1465203778388
1.13081	0	8.14	0	0.538	5.713	94.1	4.233	307	21	360.17	22.6	13.3213216017877
3.3598	0	18.1	0	0.693	5.887	94.7	1.7821	666	20.2	396.9	16.35	13.3426095612323
4.66883	0	18.1	0	0.713	5.976	87.9	2.5806	666	20.2	10.48	19.01	13.345835011698
9.39063	0	18.1	0	0.74	5.627	93.9	1.8172	666	20.2	396.9	22.88	13.3533240421323
7.52601	0	18.1	0	0.713	6.417	98.3	2.185	666	20.2	304.21	19.31	13.446450659497
1.15172	0	8.14	0	0.538	5.701	95	3.7872	307	21	358.77	18.35	13.4736277205335
2.44668	0	19.58	0	0.871	5.272	94	1.7364	403	14.7	88.63	16.14	13.4904099416449
3.6482	0	18.1	0	0.671	6.38	96.2	1.3861	666	20.2	396.9	23.69	13.5031632752317
8.71675	0	18.1	0	0.693	6.471	98.8	1.7257	666	20.2	391.98	17.12	13.5238272975259
1.38799	0	8.14	0	0.538	5.95	82	3.99	307	21	232.6	27.71	13.5640897298046
6.39312	0	18.1	0	0.584	6.162	97.4	2.206	666	20.2	302.76	24.1	13.5916529421545
0.2498	0	21.89	0	0.624	5.857	98.2	1.6686	437	21.2	392.04	21.32	13.6328836767266
9.82349	0	18.1	0	0.671	6.794	98.8	1.358	666	20.2	396.9	21.24	13.6676360551229
6.71772	0	18.1	0	0.713	6.749	92.6	2.3236	666	20.2	0.32	17.44	13.6861246028243
3.32105	0	19.58	1	0.871	5.403	100	1.3216	403	14.7	396.9	26.82	13.9086274699001
7.05042	0	18.1	0	0.614	6.103	85.1	2.0218	666	20.2	2.52	23.29	13.9395094028241
1.1604	0	18.1	0	0.74	6.629	94.6	2.1247	666	20.2	109.85	23.27	13.9847226558189
1.61282	0	8.14	0	0.538	6.096	96.9	3.7598	307	21	248.31	20.34	14.0078744107634
8.20058	0	18.1	0	0.713	5.936	80.3	2.7792	666	20.2	3.5	16.94	14.0123842128091
1.25179	0	8.14	0	0.538	5.57	98.1	3.7979	307	21	376.57	21.02	14.0324418818875
0.10574	0	27.74	0	0.609	5.983	98.8	1.8681	711	20.1	390.11	18.07	14.1017006463206
8.64476	0	18.1	0	0.693	6.193	92.6	1.7912	666	20.2	396.9	15.17	14.1507322761106
8.05579	0	18.1	0	0.584	5.427	95.4	2.4298	666	20.2	352.58	18.14	14.1655885535951
8.4982	0	18.1	0	0.668	4.138	100	1.137	666	20.2	396.9	37.97	14.1782734889425
2.37934	0	19.58	0	0.871	6.13	100	1.4191	403	14.7	172.91	27.8	14.2400057935782
1.1081	0	18.1	0	0.668	4.906	100	1.1742	666	20.2	396.9	34.77	14.2789712220082
5.288	0	18.1	0	0.671	6.649	93.3	1.3449	666	20.2	363.02	23.24	14.304372297454
0.84054	0	8.14	0	0.538	5.599	85.7	4.4546	307	21	303.42	16.51	14.4336407520707
0.2909	0	21.89	0	0.624	6.174	93.6	1.6119	437	21.2	388.08	24.16	14.4836106624434
0.0623	0	18.1	0	0.584	6.833	94.3	2.0882	666	20.2	81.33	19.69	14.4845296192172
9.32909	0	18.1	0	0.713	6.185	98.7	2.2616	666	20.2	396.9	18.13	14.5030891123631
4.75237	0	18.1	0	0.713	6.525	86.5	2.4358	666	20.2	50.92	18.13	14.5148361498744
7.02259	0	18.1	0	0.718	6.006	95.3	1.8746	666	20.2	319.98	15.7	14.5238299247755
5.58107	0	18.1	0	0.713	6.436	87.9	2.3158	666	20.2	100.19	16.22	14.6498350516482
0.88125	0	21.89	0	0.624	5.637	94.7	1.9799	437	21.2	396.9	18.34	14.6959377590219
0.25387	0	6.91	0	0.448	5.399	95.3	5.87	233	17.9	396.9	30.81	14.7118898528272
1.62864	0	21.89	0	0.624	5.019	100	1.4394	437	21.2	396.9	34.41	14.7603005093046
8.49213	0	18.1	0	0.584	6.348	86.1	2.0527	666	20.2	83.45	17.64	14.7960082623431
0.98843	0	8.14	0	0.538	5.813	100	4.0952	307	21	394.54	19.88	14.803575399944
1.35472	0	8.14	0	0.538	6.072	100	4.175	307	21	376.73	13.04	14.834791335109
2.36862	0	19.58	0	0.871	4.926	95.7	1.4608	403	14.7	391.71	29.53	14.9411929248052
0.233	0	18.1	0	0.614	6.185	96.7	2.1705	666	20.2	379.7	18.03	14.9471657583764
0.95577	0	8.14	0	0.538	6.047	88.8	4.4534	307	21	306.38	17.28	15.0064540222829
9.51363	0	18.1	0	0.713	6.728	94.1	2.4961	666	20.2	6.68	18.71	15.0792181889945
6.28807	0	18.1	0	0.74	6.341	96.4	2.072	666	20.2	318.01	17.79	15.1300282435752
7.75223	0	18.1	0	0.713	6.301	83.7	2.7831	666	20.2	272.21	16.23	15.1740757100016
9.6091	0	18.1	0	0.671	7.313	97.9	1.3163	666	20.2	396.9	13.44	15.2052180334869
1.1358	0	18.1	0	0.597	5.757	100	1.413	666	20.2	2.6	10.11	15.3379389915163
0.22489	12.5	7.87	0	0.524	6.377	94.3	6.3467	311	15.2	392.52	20.45	15.3405116671586
6.96215	0	18.1	0	0.7	5.713	97	1.9265	666	20.2	394.43	17.11	15.3670854973331
5.44114	0	18.1	0	0.713	6.655	98.2	2.3552	666	20.2	355.29	17.73	15.3893060284175
1.23247	0	8.14	0	0.538	6.142	91.7	3.9769	307	21	396.9	18.72	15.4786125020173
0.15086	0	27.74	0	0.609	5.454	92.7	1.8209	711	20.1	395.09	18.06	15.6373079429111
1.12658	0	19.58	1	0.871	5.012	88	1.6102	403	14.7	343.28	12.12	15.6723272055012
2.73397	0	19.58	0	0.871	5.597	94.9	1.5257	403	14.7	351.85	21.45	15.803686530313
9.96654	0	18.1	0	0.74	6.485	100	1.9784	666	20.2	386.73	18.85	15.8539563120711
0.97617	0	21.89	0	0.624	5.757	98.4	2.346	437	21.2	262.76	17.31	15.8697177893246
4.0974	0	19.58	0	0.871	5.468	100	1.4118	403	14.7	396.9	26.42	15.9770773242877
3.53501	0	19.58	1	0.871	6.152	82.6	1.7455	403	14.7	88.01	15.02	16.0329343538604
2.15505	0	19.58	0	0.871	5.628	100	1.5166	403	14.7	169.27	16.65	16.0805580173069
0.75026	0	8.14	0	0.538	5.924	94.1	4.3996	307	21	394.33	16.3	16.1482691817743
0.38735	0	25.65	0	0.581	5.613	95.6	1.7572	188	19.1	359.29	27.26	16.2710155011369
0.17171	25	5.13	0	0.453	5.966	93.4	6.8185	284	19.7	378.08	14.44	16.2736777253629
2.63548	0	9.9	0	0.544	4.973	37.8	2.5194	304	18.4	350.45	12.64	16.303285295403
6.44405	0	18.1	0	0.584	6.425	74.8	2.2004	666	20.2	97.95	12.03	16.3401602203154
8.6558	0	18.1	0	0.597	5.155	100	1.5894	666	20.2	210.97	20.08	16.3509947386197
4.81213	0	18.1	0	0.713	6.701	90	2.5975	666	20.2	255.23	16.42	16.4711145592243
0.21124	12.5	7.87	0	0.524	5.631	100	6.0821	311	15.2	386.63	29.93	16.5550200723528
0.02498	0	1.89	0	0.518	6.54	59.7	6.2669	422	15.9	389.96	8.65	16.6366769532835
0.67191	0	8.14	0	0.538	5.813	90.3	4.682	307	21	376.88	14.81	16.7399180662157
0.22927	0	6.91	0	0.448	6.03	85.5	5.6894	233	17.9	392.74	18.8	16.7427314130187
1.0874	0	18.1	0	0.718	6.411	100	1.8589	666	20.2	318.75	15.02	16.8193113912174
9.72418	0	18.1	0	0.74	6.406	97.2	2.0651	666	20.2	385.96	19.52	16.872973840948
0.05023	35	6.06	0	0.4379	5.706	28.4	6.6407	304	16.9	394.02	12.43	16.888260263745
0.35233	0	21.89	0	0.624	6.454	98.4	1.8498	437	21.2	394.08	14.59	17.0315930683431
0.06162	0	4.39	0	0.442	5.898	52.3	8.0136	352	18.8	364.61	12.67	17.1031601841236
4.0507	0	18.1	0	0.597	6.657	100	1.5275	666	20.2	35.05	21.22	17.1589345982643
7.40389	0	18.1	0	0.597	5.617	97.9	1.4547	666	20.2	314.64	26.4	17.1814806860875
0.15038	0	25.65	0	0.581	5.856	97	1.9444	188	19.1	370.31	25.41	17.1819153442505
0.13554	12.5	6.07	0	0.409	5.594	36.8	6.498	345	18.9	396.9	13.09	17.1879585779992
0.32264	0	21.89	0	0.624	5.942	93.5	1.9669	437	21.2	378.25	16.9	17.232168657061
2.33099	0	19.58	0	0.871	5.186	93.8	1.5296	403	14.7	356.99	28.32	17.3449832162654
8.98296	0	18.1	1	0.77	6.212	97.4	2.1222	666	20.2	377.73	17.6	17.4337137454305
8.24809	0	18.1	0	0.713	7.393	99.3	2.4527	666	20.2	375.87	16.74	17.4785263432754
0.31827	0	9.9	0	0.544	5.914	83.2	3.9986	304	18.4	390.7	18.33	17.4874870899646
8.811	0	18.1	0	0.597	4.628	100	1.5539	666	20.2	28.79	34.37	17.4971059312238
0.32543	0	21.89	0	0.624	6.431	98.8	1.8125	437	21.2	396.9	15.39	17.5116837922733
