"nocontrat";"no";"garantie";"cout";"exposition";"zone";"puissance";"agevehicule";"ageconducteur";"bonus";"marque";"carburant";"densite";"region"
"1";1870;17219;"1RC";1692.29;0.11;"C";5;0;52;50;12;"E";73;13
"2";1963;16336;"1RC";422.05;0.1;"E";9;0;78;50;12;"E";72;13
"3";4263;17089;"1RC";549.21;0.65;"C";10;7;27;76;12;"D";52;5
"4";5181;17801;"1RC";191.15;0.57;"D";5;2;26;100;12;"D";83;0
"5";6375;17485;"1RC";2031.77;0.47;"B";7;4;46;50;6;"E";11;13
"6";7652;17186;"1RC";2767.64;0.35;"E";6;0;73;58;12;"E";93;13
"7";9501;16381;"1RC";1037.95;0.19;"C";4;0;51;50;12;"E";54;13
"8";16985;99029;"1RC";1128.12;0.35;"C";8;9;45;62;14;"D";82;13
"9";17125;23925;"1RC";1128.12;1;"A";8;7;65;62;3;"E";24;13
"10";18134;26482;"1RC";5468.42;1;"A";15;1;73;50;10;"E";24;13
"11";18417;78487;"1RC";57.77;0.5;"B";5;5;53;50;1;"E";53;13
"12";18464;81092;"1RC";10.16;1;"D";7;14;63;50;1;"E";24;13
"13";19424;78342;"1RC";1128.12;0.87;"C";6;1;71;62;2;"D";53;13
"14";20319;30639;"1RC";402.79;1;"C";8;1;45;50;2;"D";24;13
"15";21846;87301;"1RC";3407.2;0.5;"A";7;4;52;50;2;"E";24;13
"16";22364;24238;"1RC";914.09;1;"A";6;3;47;50;1;"D";26;13
"17";22889;59224;"1RC";1128.12;1;"B";7;6;44;50;2;"D";25;13
"18";22913;99461;"1RC";304.9;0.72;"E";6;7;51;50;1;"E";11;13
"19";23891;57237;"1RC";803.14;1;"B";5;3;29;76;5;"E";53;5
"20";24032;92047;"1RC";1377.95;1;"A";6;3;25;76;3;"E";53;5
"21";24415;34464;"1RC";1128.12;1;"B";7;5;74;52;2;"E";24;13
"22";24771;30704;"1RC";57.74;0.76;"C";5;2;27;74;3;"D";53;5
"23";24992;30859;"1RC";1128.12;1;"B";6;6;23;112;2;"D";24;-1
"24";24992;30896;"1RC";1128.12;1;"B";6;6;23;112;2;"D";24;-1
"25";25472;30955;"1RC";84.97;1;"B";7;5;29;50;1;"D";24;13
"26";25489;28617;"1RC";1009.69;1;"A";6;6;63;50;2;"D";24;13
"27";25755;29129;"1RC";2081.53;0.78;"C";4;9;31;62;2;"D";74;13
"28";28321;96309;"1RC";1128.12;1;"B";6;6;50;70;6;"D";24;6
"29";28462;23897;"1RC";65.27;0.08;"A";6;3;47;50;5;"D";24;13
"30";28610;67447;"1RC";1128.12;0.11;"D";6;2;56;50;3;"D";93;13
"31";28615;23870;"1RC";1128.12;1;"C";4;5;50;52;6;"E";24;13
"32";28702;74212;"1RC";1187.79;0.87;"C";8;16;39;76;10;"E";24;5
"33";28928;32474;"1RC";245.99;1;"A";6;11;26;64;2;"E";24;8
"34";29076;23938;"1RC";681.62;1;"C";4;13;77;52;2;"E";24;13
"35";29694;27193;"1RC";1208.7;0.45;"A";8;8;26;76;12;"E";24;5
"36";29878;23807;"1RC";1987.24;0.75;"D";6;13;41;50;1;"E";53;13
"37";29993;27299;"1RC";1128.12;0.58;"B";7;5;43;58;1;"D";53;13
"38";30125;27984;"1RC";1128.12;0.86;"C";5;18;40;50;3;"E";53;13
"39";30441;27179;"1RC";1128.12;0.57;"E";4;13;49;90;1;"E";53;2
"40";31685;45556;"1RC";1128.12;1;"C";5;24;20;106;1;"E";26;-1
"41";31753;91051;"1RC";1128.12;0.19;"A";9;11;37;87;2;"E";74;2
"42";33201;28144;"1RC";1303.48;1;"C";5;4;32;69;2;"D";54;6
"43";33243;28148;"1RC";1128.12;1;"D";4;10;67;50;1;"E";54;13
"44";33268;37280;"1RC";1128.12;1;"D";10;8;26;90;2;"D";54;2
"45";33708;99474;"1RC";913.52;1;"B";6;7;58;50;13;"D";52;13
"46";34195;29642;"1RC";77.12;1;"E";7;3;45;50;1;"E";54;13
"47";35125;56239;"1RC";2723.29;1;"C";5;1;63;50;12;"E";82;13
"48";35500;69555;"1RC";1128.12;1;"D";5;2;55;50;2;"E";82;13
"49";35515;28401;"1RC";1128.12;0.37;"E";6;13;52;76;1;"D";82;5
"50";35702;28524;"1RC";1128.12;1;"C";7;12;45;62;3;"E";82;13
"51";36988;26426;"1RC";1128.12;1;"C";7;7;69;58;1;"D";24;13
"52";37025;26349;"1RC";77.49;0.96;"E";7;11;32;85;1;"E";24;3
"53";37237;26520;"1RC";177.38;0.75;"F";6;7;26;60;1;"D";11;9
"54";38500;99053;"1RC";2465.44;0.89;"A";7;10;44;50;2;"D";24;13
"55";38838;30250;"1RC";766.05;0.78;"D";7;7;53;50;3;"D";82;13
"56";39034;68888;"1RC";87.33;0.05;"D";7;14;52;100;2;"E";24;0
"57";39143;24243;"1RC";427.65;0.62;"E";6;9;19;100;1;"D";24;0
"58";39319;24299;"1RC";1128.12;1;"A";4;9;52;50;3;"D";24;13
"59";39463;27040;"1RC";113.96;1;"F";7;15;69;50;1;"E";11;13
"60";39463;45812;"1RC";1128.12;1;"F";7;15;69;50;1;"E";11;13
"61";39620;27395;"1RC";1128.12;0.92;"D";6;15;43;50;1;"D";82;13
"62";40025;26887;"1RC";1067.17;0.56;"E";6;1;40;50;10;"D";11;13
"63";40671;98739;"1RC";1128.12;1;"C";11;9;35;58;6;"E";82;13
"64";40884;98728;"1RC";647.33;0.75;"B";6;4;30;60;3;"D";82;9
"65";41738;97794;"1RC";360.43;0.47;"D";4;13;58;50;2;"E";25;13
"66";41996;24766;"1RC";74.38;0.66;"D";5;6;25;95;5;"D";53;1
"67";42479;79150;"1RC";283.22;1;"F";6;9;44;50;4;"E";11;13
"68";43216;94423;"1RC";670.15;0.98;"D";6;6;62;50;1;"D";24;13
"69";43219;94204;"1RC";2122.31;0.23;"D";4;18;29;125;1;"E";24;-1
"70";43261;94734;"1RC";1128.12;0.87;"D";5;4;19;95;2;"E";24;1
"71";43298;94934;"1RC";564.06;0.75;"D";10;17;49;85;2;"D";24;3
"72";43527;94667;"1RC";290.59;0.24;"D";9;8;50;76;13;"E";24;5
