"DriverAge";"LicenceAge";"VehAge";"Exposure";"ClaimNumber"
"1";39;18;3;1356.402464;192
"2";35;18;3;1243.947981;172
"3";37;18;1;1263.063655;172
"4";38;18;3;1328.588638;171
"5";39;18;2;1346.795346;170
"6";40;18;3;1263.537303;165
"7";41;18;3;1345.686516;163
"8";37;18;3;1274.108145;162
"9";43;18;5;1286.784394;162
"10";27;18;6;1330.803559;157
"11";29;18;3;1062.272416;152
"12";42;18;3;1386.195756;152
"13";46;18;2;1176.413415;152
"14";26;18;4;1091.542779;151
"15";31;18;3;1065.308693;151
"16";35;18;4;1218.688569;151
"17";36;18;2;1259.52909;151
"18";30;18;3;1035.277207;150
"19";36;18;1;1287.980835;150
"20";41;18;2;1389.850787;150
"21";42;18;0;1385.097878;150
"22";27;18;3;1066.94319;149
"23";30;18;6;1200.344969;149
"24";34;18;3;1206.948665;149
"25";43;18;0;1454.472279;149
"26";36;18;7;1174.702259;148
"27";38;18;2;1279.564682;147
"28";28;18;5;1145.990418;146
"29";28;18;7;1142.075291;146
"30";38;18;1;1251.770021;146
"31";42;18;2;1354.168378;146
"32";43;18;1;1322.570842;146
"33";44;18;3;1278.924025;146
"34";29;18;5;1132.72553;145
"35";27;18;7;1126.132786;144
"36";40;18;2;1336.689938;144
"37";41;18;5;1286.565366;144
"38";42;18;1;1348.865161;144
"39";27;18;4;1187.268994;143
"40";28;18;6;1201.292266;143
"41";35;18;2;1254.387406;143
"42";36;18;3;1321.598905;143
"43";41;18;0;1382.984257;143
"44";37;18;6;1309.029432;142
"45";38;18;4;1238.792608;142
"46";40;18;0;1347.78371;142
"47";41;18;6;1303.394935;142
"48";32;18;4;1090.097194;141
"49";35;18;5;1162.86653;141
"50";40;18;4;1278.986995;141
"51";41;18;1;1301.106092;141
"52";30;18;4;1112.678987;140
"53";40;18;5;1187.687885;140
"54";32;18;3;1105.119781;139
"55";34;18;5;1160.54757;139
"56";42;18;6;1376.104038;139
